time (second),average fuel mass flow rate (kilogram / second),average port diameter (inch),average regression rate (inch / second),average total mass flow rate (kilogram / second),average total mass flux (kilogram / inch ** 2 / second),inlet mach,inlet velocity (mph),nozzle diffuser length (inch),nozzle exit area (inch ** 2),nozzle exit diameter (inch),nozzle exit mach,nozzle exit velocity (mph),nozzle naught temp (degF),nozzle star mach,nozzle star pressure (pound_force_per_square_inch),nozzle star temp (degF),nozzle star velocity (mph),nozzle throat area (inch ** 2),nozzle throat diameter (inch),nozzle thrust (newton),oxi fuel ratio,oxidiser mass (kilogram),oxidiser mass flow rate (kilogram / second)
0.0,0.0101918,1.0001,0.03734,0.0521917635,0.0012397304,0.0,6.9477,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354092481,1.0,280.1824,4403.060766665,2192.2681945013,0.033675,0.207066,153.0287,4.121,0.3924,0.042
0.001,0.0101921,1.0001,0.03733,0.0521920686,0.0012396451,0.0,6.9478,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354093113,1.0,280.1824,4403.0607667219,2192.2681945138,0.033675,0.207066,153.0296,4.1209,0.3924,0.042
0.002,0.0101924,1.0002,0.03733,0.0521923736,0.0012395598,0.0,6.9478,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354093745,1.0,280.1824,4403.0607667789,2192.2681945263,0.033675,0.207067,153.0305,4.1207,0.3923,0.042
0.003,0.0101927,1.0003,0.03733,0.0521926786,0.0012394745,0.0,6.9479,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354094378,1.0,280.1824,4403.0607668358,2192.2681945389,0.033675,0.207067,153.0314,4.1206,0.3923,0.042
0.004,0.010193,1.0004,0.03733,0.0521929835,0.0012393892,0.0,6.9479,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.335409501,1.0,280.1824,4403.0607668927,2192.2681945514,0.033676,0.207068,153.0323,4.1205,0.3922,0.042
0.005,0.0101933,1.0004,0.03733,0.0521932885,0.0012393039,0.0,6.9479,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354095642,1.0,280.1824,4403.0607669496,2192.2681945639,0.033676,0.207069,153.0332,4.1204,0.3922,0.042
0.006,0.0101936,1.0005,0.03733,0.0521935934,0.0012392187,0.0,6.948,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354096274,1.0,280.1824,4403.0607670065,2192.2681945764,0.033676,0.207069,153.0341,4.1202,0.3922,0.042
0.007,0.0101939,1.0006,0.03732,0.0521938983,0.0012391335,0.0,6.948,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354096906,1.0,280.1824,4403.0607670634,2192.268194589,0.033676,0.20707,153.035,4.1201,0.3921,0.042
0.008,0.0101942,1.0007,0.03732,0.0521942031,0.0012390482,0.0,6.9481,0.4903,0.1734,0.4698,2.8454,6565.7515,4940.3354097538,1.0,280.1824,4403.0607671203,2192.2681946015,0.033676,0.20707,153.0359,4.12,0.3921,0.042
0.009000000000000001,0.0101945,1.0007,0.03732,0.0521945079,0.001238963,0.0,6.9481,0.4904,0.1734,0.4698,2.8454,6565.7515,4940.3354098169,1.0,280.1824,4403.0607671772,2192.268194614,0.033677,0.207071,153.0368,4.1199,0.392,0.042
0.010000000000000002,0.0101948,1.0008,0.03732,0.0521948128,0.0012388779,0.0,6.9481,0.4904,0.1734,0.4699,2.8454,6565.7515,4940.3354098801,1.0,280.1824,4403.0607672341,2192.2681946265,0.033677,0.207072,153.0377,4.1197,0.392,0.042
0.011000000000000003,0.0101951,1.0009,0.03732,0.0521951175,0.0012387927,0.0,6.9482,0.4904,0.1734,0.4699,2.8454,6565.7515,4940.3354099433,1.0,280.1824,4403.060767291,2192.2681946391,0.033677,0.207072,153.0386,4.1196,0.392,0.042
0.012000000000000004,0.0101954,1.001,0.03732,0.0521954223,0.0012387075,0.0,6.9482,0.4904,0.1734,0.4699,2.8454,6565.7515,4940.3354100065,1.0,280.1824,4403.0607673479,2192.2681946516,0.033677,0.207073,153.0395,4.1195,0.3919,0.042
0.013000000000000005,0.0101957,1.001,0.03731,0.052195727,0.0012386224,0.0,6.9483,0.4904,0.1734,0.4699,2.8454,6565.7515,4940.3354100696,1.0,280.1824,4403.0607674048,2192.2681946641,0.033677,0.207073,153.0403,4.1194,0.3919,0.042
